Arnold Schwarzenegger	Batman & Robin (1997)	$125,000,000 (estimated)	$107,285,004 (USA) (21 September 1997);;$107,188,619 (USA) (14 September 1997);;$107,000,033 (USA) (7 September 1997);;$106,712,335 (USA) (1 September 1997);;$106,135,313 (USA) (24 August 1997);;$105,674,498 (USA) (17 August 1997);;$105,506,135 (USA) (10 August 1997);;$105,189,283 (USA) (3 August 1997);;$104,552,403 (USA) (27 July 1997);;$102,808,366 (USA) (20 July 1997);;$98,795,842 (USA) (13 July 1997);;$90,716,119 (USA) (6 July 1997);;$75,208,048 (USA) (29 June 1997);;$42,872,606 (USA) (22 June 1997);;$130,000,000 (Worldwide) (25 January 1998) (except USA);;ESP 539,861,886 (Spain)	USA::12 June 1997 (Los Angeles, California)
Arnold Schwarzenegger	Jingle All the Way (1996)	$60,000,000 (estimated)	$60,573,641 (USA) (17 February 1997);;$60,422,952 (USA) (9 February 1997);;$60,089,832 (USA) (2 February 1997);;$59,540,398 (USA) (26 January 1997);;$57,966,747 (USA) (12 January 1997);;$57,194,776 (USA) (5 January 1997);;$60,592,389 (USA) ( 1997);;$53,185,547 (USA) (29 December 1996);;$47,405,964 (USA) (22 December 1996);;$43,324,886 (USA) (15 December 1996);;$38,080,639 (USA) (8 December 1996);;$30,849,962 (USA) (1 December 1996);;$12,112,267 (USA) (24 November 1996);;£3,920,290 (UK) (19 January 1997);;£943,390 (UK) (13 December 1996);;£903,420 (UK) (8 December 1996);;$129,832,389 (Worldwide) ( 1997);;$69,240,000 (Non-USA) ( 1997);;ITL 293,003,000 (Italy) (15 December 1996);;¥360,273,700 (Japan) (19 January 1997);;¥218,655,200 (Japan) (5 January 1997);;¥184,998,500 (Japan) (29 December 1996);;¥134,684,300 (Japan) (22 December 1996);;¥65,946,600 (Japan) (15 December 1996);;ESP 461,565,509 (Spain)	USA::16 November 1996
Arnold Schwarzenegger	Eraser (1996)	$100,000,000 (estimated)	$101,228,120 (USA) (6 October 1996);;$101,104,323 (USA) (29 September 1996);;$100,912,448 (USA) (22 September 1996);;$100,629,947 (USA) (15 September 1996);;$100,182,147 (USA) (8 September 1996);;$99,013,389 (USA) (1 September 1996);;$96,808,807 (USA) (25 August 1996);;$95,270,648 (USA) (18 August 1996);;$94,557,455 (USA) (11 August 1996);;$93,272,730 (USA) (4 August 1996);;$90,941,000 (USA) (28 July 1996);;$87,100,000 (USA) (21 July 1996);;$101,200,000 (USA);;£4,700,340 (UK) (15 September 1996);;$233,200,000 (Worldwide);;$133,800,000 (Worldwide) (except USA);;AUD 5,776,922 (Australia) (31 October 1996);;DEM 22,159,029 (Germany);;ESP 798,160,852 (Spain)	USA::11 June 1996 (Hollywood, California)
Arnold Schwarzenegger	T2 3-D: Battle Across Time (1996)	$60,000,000 (estimated)	U	USA::27 April 1996 (Universal Studios Florida)
Arnold Schwarzenegger	Junior (1994)	$60,000,000 (estimated)	$36,763,355 (USA);;£4,430,399 (UK) (22 January 1995);;£823,922 (UK) (11 December 1994);;$108,431,355 (worldwide);;$71,668,000 (Non-USA)	USA::23 November 1994
Arnold Schwarzenegger	True Lies (1994)	$115,000,000 (estimated)	$146,261,000 (USA);;£10,923,140 (UK) (11 September 1994);;£2,132,324 (UK) (14 August 1994);;$364,300,000 (Worldwide);;$218,000,000 (Worldwide) (except USA);;$11,500,000 (China);;$32,500,000 (Japan);;€6,567,027 (Spain) (20 December 2002);;SEK 17,760,619 (Sweden)	USA::15 July 1994
Arnold Schwarzenegger	True Lies (1995) (VG)	U	U	Japan::28 April 1995
Arnold Schwarzenegger	Last Action Hero (1993)	$70,000,000 (estimated)	$49,946,994 (USA) (6 September 1993);;$49,560,016 (USA) (29 August 1993);;$49,106,649 (USA) (22 August 1993);;$48,505,624 (USA) (15 August 1993);;$47,815,180 (USA) (8 August 1993);;$47,705,992 (USA) (1 August 1993);;$47,502,613 (USA) (25 July 1993);;$46,681,250 (USA) (18 July 1993);;$44,402,461 (USA) (11 July 1993);;$40,057,323 (USA) (5 July 1993);;$30,005,381 (USA) (27 June 1993);;$15,338,241 (USA) (20 June 1993);;$50,016,394 (USA);;£3,634,344 (UK) (16 September 1993);;£2,765,432 (UK) (15 August 1993);;$137,298,489 (Worldwide);;ARS 2,696,840 (Argentina) (25 November 1993);;ARS 2,658,538 (Argentina) (18 November 1993);;ARS 2,790,772 (Argentina) (11 November 1993);;ARS 2,747,273 (Argentina) (4 November 1993);;ARS 2,719,513 (Argentina) (28 October 1993);;ARS 2,829,074 (Argentina) (21 October 1993);;ARS 2,680,550 (Argentina) (21 October 1993);;ARS 2,658,538 (Argentina) (14 October 1993);;ARS 2,612,022 (Argentina) (7 October 1993);;ARS 2,564,482 (Argentina) (30 September 1993);;ARS 2,466,766 (Argentina) (23 September 1993);;ARS 2,306,386 (Argentina) (16 September 1993);;ARS 2,119,786 (Argentina) (9 September 1993);;ARS 1,892,566 (Argentina) (2 September 1993);;ARS 1,449,237 (Argentina) (26 August 1993);;ARS 825,213 (Argentina) (19 August 1993);;$915,084 (Argentina);;AUD 1,709,820 (Australia) (22 September 1993);;$3,366,791 (Australia);;ATS 3,716,040 (Austria) (14 October 1993);;$329,875 (Austria);;SEK 7,076,897 (Sweden)	USA::18 June 1993
Arnold Schwarzenegger	Dave (1993)	U	$63,270,710 (USA);;£2,131,332 (UK) (12 December 1993);;£1,349,122 (UK) (14 November 1993)	USA::7 May 1993
Arnold Schwarzenegger	Terminator 2: Judgment Day (1991)	$102,000,000 (estimated)	$198,116,802 (USA) (14 October 1991);;$197,063,519 (USA) (6 October 1991);;$195,572,034 (USA) (29 September 1991);;$193,624,962 (USA) (22 September 1991);;$190,746,136 (USA) (15 September 1991);;$187,253,083 (USA) (8 September 1991);;$183,122,792 (USA) (2 September 1991);;$175,583,219 (USA) (25 August 1991);;$168,449,764 (USA) (19 August 1991);;$159,166,629 (USA) (11 August 1991);;$147,713,569 (USA) (4 August 1991);;$133,612,304 (USA) (28 July 1991);;$115,314,239 (USA) (21 July 1991);;$90,429,618 (USA) (14 July 1991);;$52,306,548 (USA) (7 July 1991);;$204,843,350 (USA);;$7,718,405 (UK) (22 August 1991);;£18,179,000 (UK);;$519,843,345 (Worldwide);;$315,000,000 (Worldwide) (except USA);;$3,364,825 (Australia) (11 September 1991);;AUD 14,641,871 (Australia);;$7,111,685 (Germany) (30 October 1991);;HKD 27,896,165 (Hong Kong) (10 October 1991);;€9,951,864 (Spain)	USA::1 July 1991 (Century City, California)
Arnold Schwarzenegger	Terminator 2: Judgment Day (1991) (VG)	U	U	USA::31 October 1991
Arnold Schwarzenegger	Kindergarten Cop (1990)	$26,000,000 (estimated)	$91,457,688 (USA);;SEK 5,845,310 (Sweden)	USA::21 December 1990
Arnold Schwarzenegger	Total Recall (1990)	$65,000,000 (estimated)	$8,038,759 (USA) (16 September 1990);;$117,152,138 (USA) (10 September 1990);;$116,659,996 (USA) (3 September 1990);;$115,894,269 (USA) (26 August 1990);;$115,105,635 (USA) (19 August 1990);;$114,055,915 (USA) (12 August 1990);;$112,709,460 (USA) (5 August 1990);;$110,907,180 (USA) (29 July 1990);;$108,569,430 (USA) (22 July 1990);;$104,855,865 (USA) (15 July 1990);;$99,207,220 (USA) (8 July 1990);;$91,548,425 (USA) (1 July 1990);;$81,424,280 (USA) (24 June 1990);;$67,625,020 (USA) (17 June 1990);;$51,142,280 (USA) (10 June 1990);;$25,533,700 (USA) (3 June 1990);;$119,394,840 (USA);;$8,233,103 (UK) (30 October 1990);;$8,155,717 (UK) (23 October 1990);;£7,858,248 (UK) (4 October 1990);;£7,579,027 (UK) (27 September 1990);;£7,181,010 (UK) (20 September 1990);;£6,583,504 (UK) (13 September 1990);;£5,919,494 (UK) (6 September 1990);;£5,062,270 (UK) (30 August 1990);;£4,074,075 (UK) (23 August 1990);;£2,469,305 (UK) (16 August 1990);;£566,155 (UK) (9 August 1990);;£175,166 (UK) (29 July 1990);;£8,292,190 (UK);;£8,500,000 (UK);;$16,244,408 (UK);;$261,299,840 (Worldwide) (7 July 2012);;$141,905,000 (Worldwide) (except USA);;$261,299,840 (Worldwide);;$1,993,655 (Australia) (13 December 1990);;$7,360,052 (Australia);;DEM 11,927,673 (Germany) (4 October 1990);;$7,569,205 (Germany);;€5,474,566 (Spain) (26 September 2003);;SEK 7,808,026 (Sweden);;DEM 11,771,874 (West Germany) (27 September 1990);;DEM 11,578,331 (West Germany) (20 September 1990);;DEM 11,211,302 (West Germany) (13 September 1990);;DEM 10,523,257 (West Germany) (6 September 1990);;DEM 9,622,112 (West Germany) (30 August 1990);;DEM 8,715,230 (West Germany) (23 August 1990);;DEM 6,997,640 (West Germany) (16 August 1990);;DEM 5,098,600 (West Germany) (9 August 1990);;DEM 2,910,660 (West Germany) (2 August 1990)	USA::1 June 1990
Arnold Schwarzenegger	Twins (1988)	$15,000,000 (estimated)	$111,936,400 (USA);;£6,500,000 (UK);;$216,600,000 (Worldwide) ( 1989);;$104,700,000 (Worldwide) ( 1989) (except USA);;SEK 11,349,071 (Sweden)	USA::8 December 1988 (Los Angeles, California)
Arnold Schwarzenegger	Red Heat (1988)	U	$34,994,648 (USA);;SEK 4,607,561 (Sweden)	USA::14 June 1988 (Beverly Hills, California)
